Name,Company,lon,lat
110 kV Pernoonkoski substation,Fingrid ,26.809057,60.579522
138 kV Palhoça Substation,Eletrosul,-48.691138,-27.641318
735-kV Saguenay substation,Hydro-Québec,-71.049039,48.424657
Hydro-Québec Research Institute (IREQ),Hydro-Québec,-73.380427,45.624777
KEMA Laboratories,KEMA Laboratories,5.871092113709996,51.97907675767671
MEPPI,Mitsubishi Electric,-80.115719,40.669472
MIT,MIT,-71.09858,42.36002
Terna,Terna National Electricity Grid,7.708535875231089,45.10096374952365
 380/220kV GIS substation at Châtelard/Valais,Swiss TSO Swissgrid,6.958601,46.062446
АО «Казахстанский электролизный завод»,КЭЗ,77.191470,52.208209
Березовская ГРЭС,Юнипро,89.070545,55.579161
Братский алюминиевый завод,РУСАЛ,101.45080100855724,56.12769728017043
ВСМПО-АВИСМА,Корпорации ВСМПО-АВИСМА ,60.534718,58.060599
Василеостровская ТЭЦ (ТЭЦ-7),ОАО «ТГК-1»,30.246416655576883,59.92355376229864
Всероссийский электротехнический институт,"ФГУП ""ВЭИ""",37.70119,55.75638
Завод РусВинил,РусВинил,44.124061,56.111279
Иркутский алюминиевый завод,РУСАЛ,104.08460831108552,52.19166742330731
Казцинк-Энерго,Казцинк-Энерго,82.612898,49.974036
Кандалакшский алюминиевый завод,РУСАЛ,32.43380055830461,67.19400905056888
Красноярский алюминиевый завод,РУСАЛ,93.01941925256092,56.08462530213259
Нижегородская ГЭС,РусГидро,43.379365,56.648632
Новокузнецкий алюминиевый завод,РУСАЛ,87.23870784383003,53.77046675224009
ПАО «ТГК-1»,ПАО «ТГК-1»,30.246522220407506,59.92357021699063
ПС 110 кВ Ясень,Россети Ленэнерго,28.483366,59.401579
ПС 110/10 кВ Бенжереп-2,Россети Сибирь,86.929866,53.270883
ПС 110/10 кВ Волхов,Россети Ленэнерго,32.35625297210058,59.90491428556395
ПС 110/10 кВ Мартышкино,Россети Ленэнерго,29.795292,59.88543
ПС 110/10 кВ Пятницкая,Россети Московкий регион,38.142500,54.7607
ПС 110/10 кВ Ям,Россети Московкий регион,37.758000,55.520000
ПС 110/10/10 кВ Доброград,Россети Центр и Приволжье,41.302431,56.228066
ПС 110/10/6 кВ Нагорная,Россети Московский регион,37.616600,55.672300
ПС 110/10/6 кВ Рублево,Россети Московский регион,37.341358,55.772963
ПС 110/10/6 кВ №174 Лыткарино,Россети Московский регион,37.931600,55.5744
ПС 110/10кВ Север,Газпром нефть,72.559204,67.781219
ПС 110/35/10 кВ Богучаны,Россети Сибирь,97.417477,58.369716
ПС 110/35/6 кВ  Тяговая подстанция № 11 (Владимир),Трансэнерго,40.387906,56.111779
ПС 110/6 кВ Уват,Транснефть,69.016958,59.131829
ПС 110/6/6 кВ Десна,Транснефть,34.001997,52.973775
ПС 220/110/10 кВ Надым,Россети ФКС ЕЭС,73.045392,65.310772
ПС 220/110/20/10 кВ Герцево,АО «Объединенная энергетическая компания»,37.399778,55.836634
ПС 330 кВ Могилев,Могилевэнерго,30.509444,53.856667
ПС 500 кВ Тобол,Россети ФКС ЕЭС,68.448000,58.286531
ПС 500/220/35 кВ Трачуковская,Россети ФКС ЕЭС,75.230421,61.287586
ПС 500/220/35/10 кВ Сомкино,Россети ФКС ЕЭС,72.965366,61.351192
Правобережная ТЭЦ (ТЭЦ-5),ОАО «ТГК-1»,30.487559309026985,59.86642031090816
Саяногорский алюминиевый завод,РУСАЛ,91.4568565277656,53.2008564437786
ТЭЦ-11,Газпром Мосэнерго,37.72603645794139,55.75280205372423
Тайшетский алюминиевый завод,РуСАЛ,97.989726,55.941850
Южная ТЭЦ (ТЭЦ-22),ОАО «ТГК-1»,30.447695642724305,59.826721094535166
